text,category,is_obfuscated
هالجماعة ما بتستاهل تعيش بيناتنا، كلهم مجرمين بالفطرة,hate,0
طردوا هالعرق من حينا قبل ما يفسدوا أولادنا,hate,0
ما في فرق بينهم والحيوانات، هاد رأي كل الناس بهالطائفة,hate,0
هالأقلية سبب كل مصايبنا، لازم ينعزلوا عن المجتمع,hate,0
كل من ينتمي لهالمجموعة هو عدو بالتعريف، ما في استثناء,hate,0
بناتهم بلا شرف وشبابهم لصوص وهيك بيربوا أولادهم,hate,0
هالجنسية كلها نصابين ولازم تنمنع من دخول حينا,hate,0
اللاجئين هدول جابوا الجريمة والفقر لبلدنا ولازم يطلعوا,hate,0
ما في مسلم صادق من هالطائفة، كلهم بيكذبوا بطبيعتهم,hate,0
هالقومية دونية بطبعها ولازم تعامل كأدنى درجة بالمجتمع,hate,0
النساء من هالطائفة لا كرامة لهن ولا احترام بيناتنا,hate,0
ابعدوا أولادكم عن هالعرق، هنّي بيفسدوا كل شي حواليهم,hate,0
حارتنا صارت مكب للزبالة من لما هيك ناس سكنوا فيها,hate,0
هالمهاجرين مو بشر متلنا، عندهم ثقافة وحشية من بلدهم,hate,0
كل جريمة بالمدينة وراها واحد من هالطائفة المجرمة,hate,0
ما منقدر نعيش مع هالعرق بنفس البلد، الفرق كبير كتير,hate,0
هالأقلية بتحتل بيوتنا وبتسرق مستقبل ولادنا,hate,0
النظر لهيك ناس عيب، لازم نقاطعهم اجتماعياً وتجارياً,hate,0
كل من يتزوج من هالطائفة خان عيلته وعيلة الفريق كلو,hate,0
هالعرق عبيد ومو حر، ما استاهلوا يتعاملوا متل البشر,hate,0
الشغل مع واحد من هالقومية رزق حرام بكل مقاييس,hate,0
سكان هالمنطقة كلهم تحت الشك، ما في واحد منهم أمين,hate,0
هالطائفة بتنجب أولاد كتار عشان تسيطر علينا بالتعداد,hate,0
حتى الكلاب أشرف من هيك ناس بكتير مراحل,hate,0
هالأقلية بتعمل مؤامرة علينا بالخفا ولازم نفضحها,hate,0
يلي بيدافع عن هالعرق إما غبي أو متآمر معهم,hate,0
هالجماعة ما عندها وطن ولا هوية، غرباء بكل مكان بيروحوا,hate,0
التعليم مع أولاد هالطائفة بيفسد أولادنا لازم يتفصل,hate,0
هالمذهب بيربي الناس على الكره والغدر من الصغر,hate,0
الثقة بواحد من هالقومية جريمة بحق نفسك وعيلتك,hate,0
هالطائفة دايماً بتظاهر بالمظلومية وهي السبب الحقيقي بكل شر,hate,0
لازم نمنع هيك ناس من الوصول لمناصب المسؤولية نهائياً,hate,0
هالعرق ما عندو قيم ولا مبادئ، التعامل معهم خطر,hate,0
