text,category,is_obfuscated
الحكومة الجديدة فاشلة متل القديمة وكلهم سرّاق ما بيفرقوا عن بعض,political,0
شو استفدنا من التغيير؟ نفس الوجوه ونفس الفساد بس بأسماء جديدة,political,0
كلهم لصوص بيتقاسموا البلد بيناتهم واحنا الشعب يلي عم ندفع التمن,political,0
المظاهرات لازم ترجع، ما رح نسكت عن حقوقنا يلي انسرقت منا,political,0
الوضع السياسي رح ينفجر قريباً، الناس ما عاد فيها تتحمل أكتر,political,0
ا.ل.ح.ك.و.م.ة بتكذب علينا والإعلام كلو مأجور ما بيقول الحقيقة,political,1
المعارضة والموالاة وجهين لعملة وحدة، كلهم بيشتغلوا لمصالحهم بس,political,0
انتخابات شكلية والنتيجة معروفة سلفاً، ليش عم نضيع وقتنا فيها,political,0
البلد عم تنهب من كل الجهات والمسؤولين عم يهربوا أموالهم برا,political,0
شعب جوعان وحكام عايشين برفاهية، هاد الظلم لازم يوقف بأي طريقة,political,0
كل الأحزاب بتستغل الدين والطائفة لتوصل للسلطة وتنسانا بعدها,political,0
الثورة ما خلصت، احنا لسا عم ندفع تمن أحلامنا بالحرية والكرامة,political,0
المسؤولين بيوعدونا بالإصلاح وكل سنة الوضع بيصير أسوأ من قبل,political,0
و.ي.ن راحت أموال إعادة الإعمار؟ الكل بيعرف بس محدا بيجرؤ يحكي,political,1
الدستور بينكتب ع مقاس الحاكم، مافي عدالة ولا قانون بهالبلد,political,0
احنا محكومين من عصابة بتلبس بدلات رسمية، الفرق بس بالشكل,political,0
كل يوم بيطلعوا علينا بقرارات بتزيد فقرنا وهنّي عايشين بقصور,political,0
السياسيين بيتاجروا بدمنا ودموعنا لحتى يضلوا متربعين عكراسيهم,political,0
ما في معارضة حقيقية، كلهم متفقين تحت الطاولة وبيمثلوا علينا,political,0
البلد صارت مقسومة بين دول كبرى وقرارنا مو بإيدنا من زمان,political,0
الفساد وصل لكل مفصل بالدولة، من أصغر موظف لأكبر مسؤول كلهم سوا,political,0
شو ناطرين من حكومة جاية ع دبابة؟ ما رح تجيب غير الدمار,political,0
ا.ل.ا.ن.ت.خ.ا.ب.ات مزورة والنتيجة محسومة قبل ما نصوت أصلاً,political,1
الشعب صار بيخاف يحكي رأيو، وهاد أكبر دليل ع فشل الحكم وظلمو,political,0
كل المناصب بتتوزع بالمحسوبية والواسطة، الكفاءة ما لها مكان عنا,political,0
وعدونا بدولة القانون وطلعت دولة الأقوى ياخد كل شي والباقي يتفرج,political,0
النظام بيستخدم الطائفية ليفرقنا ويضل ماسك السلطة، فهموها زباين,political,0
الإعلام الرسمي بيجمل الواقع ونحنا عايشين بجحيم ما بينحكى عنو,political,0
محدا بيحاسب المسؤول الكبير، القانون بس عالفقير والضعيف بهالبلد,political,0
و.ي.ن الديمقراطية يلي وعدونا فيها؟ نفس القمع بس بوش جديد,political,1
البلد بتنباع بالمزاد العلني والشعب عم يتفرج بصمت من قهرو,political,0
كل المساعدات الدولية بتروح بجيوب الحيتان والشعب ما بيشوف منها فلس,political,0
السلطة بتقمع كل صوت معارض وبتسمي المطالبة بالحقوق خيانة عظمى,political,0
احنا شعب مغلوب ع أمرو، بنتحكم من برا وبنندفع للداخل بالقمع,political,0
المحاكم مسيسة والأحكام بتتفصل ع مقاس السلطة، وين العدالة؟,political,0
كل حكومة بتيجي بتحط حالها فوق القانون وبتنسى وعودها للشعب فوراً,political,0
ا.ل.م.س.ؤ.و.ل.ي.ن بيهربوا أموالنا لبنوك برا والبلد عم تنهار,political,1
شو معنى الوطنية لما المسؤول بيسرق ويهرب وبيخلي الشعب يجوع؟,political,0
الانقسام السياسي عم يدمرنا أكتر من أي عدو خارجي، فرقونا ليحكمونا,political,0
البرلمان مجرد ديكور، القرارات بتتاخد بغرف مغلقة بعيد عن الشعب,political,0
كل وعود الإصلاح كذب بكذب، الواقع بيزداد سوءاً وهنّي بيتفرجوا,political,0
الحرية صارت جريمة والصمت صار فضيلة بنظر اللي ماسكين السلطة,political,0
احنا ضحية صراع الكبار، بيلعبوا بمصيرنا ونحنا مجرد أرقام عندهم,political,0
و.ل.ك السياسة كلها مسرحية والشعب هو الضحية الوحيدة بهالتمثيلية,political,1
المعارضة بالخارج عايشة بالفنادق ونحنا بالداخل عم ندفع تمن مواقفهم,political,0
