text,category,is_obfuscated
هالطائفة كلها خونة وما بتستاهل تعيش بيناتنا، لازم نتخلص منهم,hate,0
الأكراد كلهم انفصاليين وبدهم يسرقوا أرضنا، ما إلهم محل عنا,hate,0
هالعرق ما بينتمي لهون، يرجعوا من وين إجوا ويتركونا بحالنا,hate,0
كل واحد من هالجماعة لازم ينطرد، هنّي سبب كل مصايبنا,hate,0
ا.ل.ع.ل.و.ي.ي.ن كلهم متشابهين وما فيك تأمنلهم أبداً نهائياً,hate,1
السنة كلهم متطرفين وبيكرهونا، ما فينا نعيش معهم بنفس البلد,hate,0
هالقومية حثالة المجتمع ولازم ينعزلوا عنا، ما إلهم بيناتنا,hate,0
المسيحيين غرباء عنا وبيتآمروا علينا، احذروا منهم وما تثقوا فيهم,hate,0
كل اللاجئين عبء علينا وبيخربوا بلدنا، يطلعوا من هون فوراً,hate,0
هالطايفة ما بتعرف غير الغدر والخيانة، ابعدوا عنهم كلياً,hate,0
الشيعة كلهم عملاء لبرا وما بيحبوا الخير لهالبلد، انتبهوا منهم,hate,0
هالجماعة جايين ياخدوا شغلنا وبيوتنا، لازم نوقفهم قبل ما يكتروا,hate,0
الدروز منغلقين ع حالهم وبيتآمروا بالخفا، ما فينا نثق فيهم,hate,0
و.ل.ك هالعرق كلو فاسد بطبيعتو ما رح يتغير مهما عملنا,hate,1
السنّة والشيعة ما بينفعوا، كلهم بيكذبوا ويخططوا ضد بعض وضدنا,hate,0
هالأقلية بدها تفرض ثقافتها علينا، لازم نرفضهم ونحافظ ع هويتنا,hate,0
كل واحد من هالطائفة بيشكل خطر علينا، أحسن نبعدهم عن مناطقنا,hate,0
الكرد ضيوف تقلوا ع صدرنا، يرجعوا لجبالهم ويتركوا أرضنا العربية,hate,0
هالجنسية كلها نصابين وحراميه، ما فينا نتعامل معهم بأمان أبداً,hate,0
العلويين أخدوا حقنا وعاشوا ع حسابنا، آن الأوان ياخدوا يلي بيستاهلوه,hate,0
