text,category,is_obfuscated
مبروك ربحت 5 مليون ليرة من سحب سيريتل، ابعت رقمك السري لتستلم الجايزة,scam,0
هلق وصلك رابط من البنك عبيه معلوماتك لتفعيل حسابك قبل ما ينقفل,scam,0
ولك انت الفائز بسيارة! بس ادفع رسوم التحويل 50 ألف وخود مفتاحك,scam,0
تهانينا حسابك ربح جايزة، اضغط الرابط وادخل رقم بطاقتك لتستلمها,scam,0
معك موظف من سيريتل، في مشكلة بخطك، اعطيني الكود يلي وصلك لحلها,scam,0
بدك شغل براتب 500 دولار بالشهر من البيت؟ ادفع رسوم التسجيل بس,scam,0
حسابك بالواتساب رح ينقفل، ابعت الكود يلي وصلك لتأكيد هويتك,scam,0
ربحت بقرعة MTN موبايل جديد، عبي بياناتك عالرابط لتوصلك الجايزة,scam,0
عمتك حوالة من برا، بس لازم تدفع عمولة الاستلام أول شي عالرابط,scam,0
انتبه! حسابك البنكي تعرض لاختراق، غير كلمة السر فوراً عهالرابط,scam,0
مرحبا انا بايع عالموقع، حوللي العربون عهالحساب وببعتلك الغرض,scam,0
ربحت رحلة مجانية لدبي، اكد حجزك بدفع 30 ألف رسوم بس,scam,0
معك خدمة الزبائن، خطك رح ينقطع، اعطينا رقم الهوية والكود السري,scam,0
م.ب.ر.و.ك ربحت جايزة كبيرة اضغط الرابط واعطي معلوماتك,scam,1
في حوالة باسمك متوقفة، ادخل بياناتك عهالرابط لتحررها بسرعة,scam,0
عرض من سيريتل: اشحن 5 آلاف وخود 50 ألف، بس فعّل عهالكود أول,scam,0
ابنك تعرض لحادث وعم نطلب فدية، حوّل المبلغ هلق عهالرقم,scam,0
حسابك عالفيسبوك رح يتحذف، اكد هويتك عهالرابط خلال ساعة,scam,0
ربحت قسيمة شراء بـ200 ألف من متجرنا، فعّلها بإدخال رقم بطاقتك,scam,0
معك البنك المركزي، في عملية مشبوهة عحسابك، اعطينا الكود لإيقافها,scam,0
بدك تستثمر وتربح ضعف مبلغك بأسبوع؟ حوّل وشوف بعينك، مضمون,scam,0
ا.ن.ت ر.ب.ح.ت بقرعة الموبايل ابعت رقمك السري لاستلام الجايزة,scam,1
خطك مهدد بالقطع لعدم الدفع، سدد فوراً عهالرابط لتجنب الانقطاع,scam,0
وصلتك هدية من صديق، افتح الرابط وسجل دخولك لتشوف مين بعتها,scam,0
تم اختيارك لوظيفة مرموقة، بس ادفع رسوم المقابلة لتأكيد مكانك,scam,0
حسابك ربح 10 آلاف دولار بمسابقة، اعطينا معلومات حسابك للتحويل,scam,0
معك موظف الكهرباء، فاتورتك متأخرة، ادفع عهالرابط قبل القطع,scam,0
ربحت آيفون 15 برو، بس غطي رسوم الشحن 40 ألف لتوصلك عالبيت,scam,0
في طرد باسمك بالجمرك، ادفع رسوم التخليص عهالرابط لتستلمو,scam,0
حسابك بالبنك مجمد، اتصل فوراً وأعطي بياناتك الكاملة لفك التجميد,scam,1
بدك تضاعف رصيدك؟ حول لهالرقم وبيرجعلك المبلغ مضاعف خلال ساعة,scam,0
تهانينا اخترناك من بين آلاف الزبائن لتربح جايزتنا الكبرى,scam,0
معك أمن المعلومات بسيريتل، في خطر عحسابك، اعطينا كلمة السر,scam,0
ربحت اشتراك مجاني سنة كاملة، فعّلو بإدخال رقم بطاقتك الائتمانية,scam,0
عندك مخالفة مرورية متأخرة، سددها هلق عهالرابط قبل ما تتضاعف,scam,0
حوالتك المالية جاهزة، بس عبي بياناتك البنكية عهالرابط لاستلامها,scam,0
م.ع.ك ا.ل.ب.ن.ك في مشكلة بحسابك اعطينا الكود السري لحلها,scam,1
بدك فيزا سفر مضمونة بأسبوع؟ ادفع الرسوم وخلينا نكمل إجراءاتك,scam,0
ربحت بسحب رمضان مبلغ كبير، اتصل وأكد بياناتك لاستلام الجايزة,scam,0
حسابك عالانستغرام تم الإبلاغ عنو، اكد ملكيتك عهالرابط فوراً,scam,0
عرض استثماري ذهبي، ضاعف أموالك بالعملات الرقمية، ابدأ هلق,scam,0
معك شركة الشحن، طردك متوقف، ادفع الرسوم الإضافية عهالرابط,scam,0
تم رصد دخول غريب لحسابك، غير كلمة السر فوراً من هالرابط,scam,0
ربحت قرض بدون فوائد لحد 5 مليون، عبي الطلب عهالرابط هلق,scam,0
ا.د.ف.ع رسوم التحويل وخود جايزتك الكبرى يلي ربحتها بالسحب,scam,1
حسابك بالتطبيق رح ينقفل بكرا، جدد اشتراكك عهالرابط لتجنب القطع,scam,0
معك موظف الضرائب، عليك مبلغ متأخر، سدد هلق لتجنب المسائلة,scam,0
بدك تشتري دولار بسعر مميز؟ حوّل لهالحساب وبيوصلك خلال دقايق,scam,0
وصلك مبلغ بالخطأ لحسابك، رجعو لهالرقم فوراً قبل ما تتورط,scam,0
تهانينا رقمك فاز بالسحب الأسبوعي، اعطينا تفاصيلك لإرسال الجايزة,scam,0
معك دائرة الهجرة، طلب لجوئك تمت الموافقة عليه، ادفع رسوم المعاملة هلق,scam,0
رصيدك رح ينتهي، فعّل العرض المجاني بإدخال رقمك السري عهالرابط,scam,0
وصلك مبلغ من ويسترن يونيون، عبي بياناتك عهالرابط لاستلامو فوراً,scam,0
معك الدعم الفني لشركتك، في فيروس عجهازك، حمّل برنامجنا لإزالتو,scam,0
تم قبولك بمنحة دراسية مجانية برا، بس ادفع رسوم التسجيل لتأكيد مقعدك,scam,0
حسابك ع الأنستغرام حصل ع علامة التوثيق، أكد بياناتك عهالرابط,scam,0
معك موظف شركة الكهرباء، عندك رصيد زائد، اعطينا حسابك لنرجعو إلك,scam,0
ربحت قرعة الحج المجاني هالسنة، اتصل وأكد بياناتك لتثبيت اسمك,scam,0
ا.د.ف.ع رسوم بسيطة وخود حوالتك المعلقة من برا فوراً عهالرابط,scam,1
معك البنك، بطاقتك رح تنتهي صلاحيتها، جددها بإدخال الرقم والكود,scam,0
عرض وظيفة بدوام جزئي براتب ممتاز، ادفع رسوم التدريب لتبدأ فوراً,scam,0
حسابك بالتطبيق سجل دخول من جهاز غريب، أكد هويتك عهالرابط حالاً,scam,0
