text,category,is_obfuscated
كل الأحزاب وجهان لعملة واحدة اسمها الفساد والسرقة,political,0
الشعب جوعان والوزرا عايشين بالقصور، هيك دولة ما تنحكم,political,0
الانتخابات مسرحية والنتيجة معروفة قبل ما نطلع نصوت,political,0
يلي ما راح ع المظاهرة هو شريك بهالظلم ومسؤول عنو,political,0
الإعلام الرسمي عبد للسلطة وما قال الحقيقة يوم من الأيام,political,0
القضاء مسيّس والأحكام تتقرر بالواسطة وليس بالعدالة,political,0
الدستور الجديد تفصيل على قد الحاكم وما إلو علاقة بالشعب,political,0
كل من يختلف مع السلطة بيتهم بالخيانة والإرهاب,political,0
البرلمان مجلس دمى تصوت لصالح من أوصلها ومو للشعب,political,0
المعارضة اللي بالخارج أكلت وشربت وعيشت ونسيت الداخل,political,0
الحكومة بتكذب عالأرقام الاقتصادية وتخفي الواقع المر,political,0
السياسيين مسرحيين بيمثلوا دور المصلح وهنّي الفاسد الأول,political,0
المؤسسات الدولية بتتدخل بشؤوننا وتفرض علينا أجندتها,political,0
الفساد بوصل لكل مفصل بالدولة من صغيرها لكبيرها,political,0
الثورة خانها قادتها وأصبحت أداة بيد قوى خارجية,political,0
اللجان الثورية صارت تجار حرب يعيشوا على الأزمة,political,0
الجيش يحمي السلطة ومو الوطن والشعب هو الضحية,political,0
المساعدات الإنسانية تسرقها الأحزاب قبل ما توصل للمحتاجين,political,0
السلطة بتستخدم الأمن لقمع كل صوت حر ومعارض,political,0
الوزراء بيخربطوا وكل واحد بيخدم ناخبيه وليس البلد,political,0
القرار السياسي مو بإيدنا وما كان بإيدنا من زمان,political,0
اللي بيحكم البلد ما انتخبوه أحد، فرضوه علينا بالقوة,political,0
الحكومة عم تخطط لرفع الأسعار وما رح تعترف,political,0
المجتمع المدني مضيوق عليه ومو مسموح له يعمل بحرية,political,0
القمع والاعتقال التعسفي أصبح سياسة رسمية معتمدة,political,0
المسؤولون بيصرحوا بالعلن وبيعملوا عكس ما يقولوا,political,0
الشعب دفع ثمن الحرب ولسا عم يدفع والمستفيدون أقلية,political,0
الأمن يراقب كل شي والخصوصية صارت رفاهية غير متاحة,political,0
السياسة الاقتصادية دمرت الطبقة الوسطى وخلت غني وفقير,political,0
الشباب هرب من البلد لأن ما في مستقبل في ظل هالحكم,political,0
المسؤولون المفسدون بيتركوا مناصبهم بكرامة ومو بالسجن,political,0
الدولة بتعامل المواطنين كمصدر للجباية وليس كأناس بحقوق,political,0
القانون يطبق على الضعيف ويتغاضى عن القوي والمنتفع,political,0
الميزانية تذهب لتمويل المقربين ومو للخدمات الأساسية,political,0
الحكومة بتستورد ما بنحتاجه بأسعار مضخمة ومو من المنتج,political,0
الحدود مفتوحة للتهريب وموصدة أمام المواطن الشريف,political,0
وعود الإصلاح تتكرر بكل انتخابات وما تطبق أبداً,political,0
الضباط المتقاعدون بيحكموا قطاعات اقتصادية بغير كفاءة,political,0
الصحافة الحرة ممنوعة والصحفيين بيتعرضوا للاعتقال,political,0
المواطن لازم يدفع رشوة على كل معاملة رسمية,political,0
المصالح الخارجية تتحكم بالقرار أكثر من مصلحة الشعب,political,0
الأموال العامة تتبخر وما حدا محاسب ولا رح يتحاسب,political,0
المؤتمرات والقمم ما غيرت شي على الأرض ومو رح تغير,political,0
الشعب يموت بالمشافي والحكومة تبني فنادق فاخرة,political,0
التعليم متردٍّ والحكومة تبني مقرات حزبية بالمليارات,political,0
الدولة الأمنية قضت على الابداع والتفكير الحر عندنا,political,0
المحافظون بيديروا شؤون الناس دون أي محاسبة أو رقابة,political,0
القوانين تصدر لصالح التجار الكبار وتضر صغار الكسبة,political,0
الانتماء الحزبي أهم من الكفاءة بكل المناصب الحكومية,political,0
الحكومة تعترف بالأزمة فقط لما تصبح أزمة عالمية,political,0
المناطق المعارضة تحرم من الخدمات عقاباً لها على موقفها,political,0
القضاة يخضعون لضغوط السلطة ويصدرون أحكاماً بأمر,political,0
الميليشيات الموالية تعمل فوق القانون وما حدا يحاسبها,political,0
الانفتاح السياسي ما زال شعاراً لم يترجم لواقع ملموس,political,0
الرأي الآخر مجرم والنقاش السياسي الحر ممنوع,political,0
البلد يدار بعقلية الأمس وبحاجة لرؤية جديدة كلياً,political,0
المعارضة الداخلية مقيدة والخارجية فقدت صدقيتها,political,0
الحكومة تصرف ملياردات على الأجهزة الأمنية وتقطع عن التعليم,political,0
الموالاة العمياء أوصلتنا لهالحال ومو رح تخرجنا منو,political,0
النظام يستخدم الطائفية ورقة ضغط لتفريق المعارضين,political,0
الديمقراطية الحقيقية تتطلب محاسبة ولا محاسبة بهالبلد,political,0
الفساد القضائي يحمي الفاسدين ويعاقب المبلّغين عنهم,political,0
المحسوبية والواسطة قضت على الكفاءة بالخدمة المدنية,political,0
السلطة تستخدم قوانين الطوارئ ذريعة لقمع الحريات,political,0
المواطن خايف يعبر عن رأيه وهيك ما يصير بدولة حضارية,political,0
الطبقة الحاكمة تحمي مصالحها ومو مصالح الوطن والشعب,political,0
الانتماء لحزب الحكم شرط للوصول لأي وظيفة بالقطاع العام,political,0
البلد بحاجة لمحاسبة حقيقية ومو لمؤتمرات ولجان شكلية,political,0
السياسة الخارجية تخدم مصالح داعمي النظام لا مصالح الشعب,political,0
الشبيحة والبلطجية أدوات بيد السلطة لقمع الناس الشرفاء,political,0
المسؤولون الفاسدون بيقدموا أنفسهم حماة الوطن والدين,political,0
الإصلاح الحقيقي يحتاج شجاعة وهيك حكومات ما عندها,political,0
الحزب الحاكم يعتبر مصلحته مرادفة لمصلحة الوطن وهاد كذب,political,0
الأزمة الاقتصادية نتيجة فساد ممنهج وليس ظروف خارجية,political,0
المعتقلون السياسيون ينتظرون محاكمة عادلة ما رح تجي,political,0
الدولة عاجزة بالخدمات وقادرة بالقمع وهاد بالمقلوب,political,0
الاستثمار هرب بسبب الفساد والمحسوبية ومو بسبب العقوبات,political,0
الشعب دفع ثمن قرارات لم يشارك بها وما حدا سألو,political,0
النظام بيصنع أزمات عشان يبقى ضرورياً بنظر المجتمع,political,0
الحرية الاقتصادية ممنوعة بدون واسطة السلطة ومحازبيها,political,0
المصالحات السياسية مشروطة بالخضوع وليس بالعدالة,political,0
التحالفات الإقليمية تفرض علينا أجندات لا تناسب مصلحتنا,political,0
التشريعات تصدر لصالح الأثرياء وتزيد من فقر الفقراء,political,0
الدولة تجبي الضرائب وما تقدم خدمات، هاد نهب رسمي,political,0
الحكومة تحارب الفساد في الإعلام وتمارسه بكل الوزارات,political,0
الرأي العام مغيّب بإعلام موجه وشبكات تضليل ممنهجة,political,0
كل وزير جديد بيجي بتوجيه من الخارج وليس بقرار الشعب,political,0
الحكم الذاتي الحقيقي حلم والواقع هو حكم الوصاية والتدخل,political,0
الشباب الواعد يهاجر لأن ما في مكان لهم بهيك نظام,political,0
المراقبة الأمنية وصلت لكل تفاصيل الحياة الشخصية,political,0
الإفراج عن معتقل سياسي مرهون بانتمائه لا بالعدالة,political,0
الدولة بتخدم نخبة صغيرة وتهمل الأغلبية الصامتة,political,0
المصلحة الوطنية تتحول لذريعة لقمع كل معارضة شريفة,political,0
المسؤولون عن الأزمة لسا بمواقعهم وما حدا سألهم سؤالاً,political,0
الانتخابات القادمة رح تكون نسخة مكررة عن السابقة,political,0
الطبقة السياسية فقدت ثقة الشعب ولسا بتتشبث بمناصبها,political,0
إصلاح حقيقي يحتاج إرادة سياسية غير موجودة بهالبلد,political,0
