text,category,is_obfuscated
وصلت البضاعة الجديدة الممتازة، اللي بدو يجرب يحكيني عالخاص,drugs,0
عندي أحلى نوعية حشيش بالسوق، السعر منيح للكميات، تواصل,drugs,0
بدك حبوب تسهرك طول الليل؟ عندي الأصلي مو المغشوش، احكيني,drugs,0
الكبتاغون متوفر بكميات، توصيل لكل المناطق بسرية تامة,drugs,0
وصلني شحنة كريستال نقي، السعر حرق للكميات الكبيرة، خاص,drugs,0
بضاعة فاخرة لزباين المستوى، الجودة مضمونة والتوصيل آمن,drugs,0
عندي كل الأنواع يلي بتدور عليها، احكيني وحدد طلبك بسرية,drugs,0
و.ص.ل.ت الشحنة الجديدة نوعية ممتازة للي بدو يطلب خاص,drugs,1
حبوب الفرح متوفرة بأسعار منافسة، توصيل لباب البيت، تواصل,drugs,0
عندي أفضل خلطة بالمدينة، جربها مرة وما رح تندم، السعر يناسبك,drugs,0
بدك تنسى همومك؟ عندي يلي بيطير عقلك، احكيني عالخاص هلق,drugs,0
الماريجوانا الأصلية متوفرة، نوعيات مختلفة وأسعار للجملة,drugs,0
شحنة طازة وصلتني، للزباين الدايمين خصم خاص، تواصلوا بسرعة,drugs,0
عندي حبوب منوّمة قوية بدون وصفة، الكمية محدودة احكيني,drugs,0
ب.ض.ا.ع.ة م.م.ت.ا.ز.ة وصلت للي بدو يجرب الأصلي خاص,drugs,1
توفر مادة الهيرويين النقي للزباين الجادين بس، التواصل خاص,drugs,0
عندي خلطة سحرية بتنسيك الدنيا، السعر رمزي لأول الزباين,drugs,0
الأقراص المهدئة متوفرة بكميات كبيرة، توصيل سري لكل سوريا,drugs,0
بدك تجرب شي جديد يغير مزاجك؟ عندي يلي بتدور عليه تماماً,drugs,0
وصلتني بضاعة من أجود الأنواع، للكميات سعر خاص، احكيني,drugs,0
عندي كل ما يخطر ببالك من المواد، السرية والجودة مضمونة,drugs,0
حبوب الطاقة والسهر متوفرة، نوعية أصلية مو تقليد، تواصل خاص,drugs,0
ا.ل.ك.ب.ت.ا.غ.و.ن متوفر بكميات توصيل سري لكل المناطق,drugs,1
شحنة كوكايين نقي وصلت، للزباين المميزين بس، السعر بالخاص,drugs,0
عندي أفضل بودرة بالسوق، نقاوة عالية وسعر ينافس، احكيني,drugs,0
بدك تطفي على روحك؟ عندي الحل الأكيد، تواصل وحدد طلبك,drugs,0
المواد المخدرة بكل أشكالها متوفرة، توصيل آمن ودفع عند الاستلام,drugs,0
وصلني نوع جديد بيفوق كل يلي جربتو، السعر مغري احكيني خاص,drugs,0
عندي حبوب بتخليك تطير من السعادة، الكمية محدودة بسرعة,drugs,0
للزباين الجادين بس، بضاعة فاخرة نوعية أوروبية، التواصل خاص,drugs,1
شحنة حشيش لبناني أصلي وصلت، للجملة سعر مميز، احكيني,drugs,0
عندي يلي بيريحك من كل وجع وهم، جرب وشوف بنفسك، خاص,drugs,0
