text,spam,hate,scam,political,violence,sectarian,adult,drugs,harass,misinfo
هلق بس عرض حصري! خصم 70% عكل الموبايلات لتاريخ نهاية الشهر، فوت عالرابط,1,0,0,0,0,0,0,0,0,0
ولك صار عندك فرصة تربح آيفون جديد، بس عبي بياناتك هون,1,0,0,0,0,0,0,0,0,0
عرض الجمعة: اشتري واحد خود تنين عكل منتجات المتجر، ما تفوت الفرصة,1,0,0,0,0,0,0,0,0,0
بدك تخسر وزنك بأسبوع؟ منتجنا الجديد رح يغير حياتك، اطلب هلق,1,0,0,0,0,0,0,0,0,0
كل خدمات التنظيف للبيوت والشركات بأرخص الأسعار، اتصل فينا,1,0,0,0,0,0,0,0,0,0
دورة انكليزي مجانية لأول 50 شخص بيسجلوا، احجز مكانك هلق,1,0,0,0,0,0,0,0,0,0
وصلنا أحدث موديلات الكنب والموبيليا، زورو المعرض بالمزة,1,0,0,0,0,0,0,0,0,0
عرض خاص عالانترنت المنزلي، سرعة خرافية بنص السعر، اشترك اليوم,1,0,0,0,0,0,0,0,0,0
تبي قرض سريع بدون كفيل؟ منوافق بنفس اليوم، تواصل معنا,1,0,0,0,0,0,0,0,0,0
رح يكون في تخفيضات هائلة بمحلنا بكرا، تعو بكير قبل ما يخلص,1,0,0,0,0,0,0,0,0,0
عنا أحلى عروض شحن للموبايل، اشحن 10 آلاف خود 15 ألف رصيد,1,0,0,0,0,0,0,0,0,0
خدمة توصيل أكل لباب البيت بأي وقت، حمّل التطبيق هلق,1,0,0,0,0,0,0,0,0,0
بدك تتعلم تجارة العملات وتربح من البيت؟ سجل بكورسنا المجاني,1,0,0,0,0,0,0,0,0,0
عرض الصيف عالمكيفات، تركيب مجاني وضمان 5 سنين، اتصل فينا,1,0,0,0,0,0,0,0,0,0
صار في فرع جديد إلنا بحلب، تعو شوفو العروض الافتتاحية,1,0,0,0,0,0,0,0,0,0
اشترك بباقتنا الذهبية وخود هدايا قيمتها 100 ألف ليرة,1,0,0,0,0,0,0,0,0,0
ع.ر.ض ح.ص.ر.ي خصم 50% بس اليوم فوت عالرابط بسرعة,1,0,0,0,0,0,0,0,0,0
دورة تسويق رقمي اونلاين، شهادة معتمدة وسعر رمزي، احجز,1,0,0,0,0,0,0,0,0,0
عنا أجمل تشكيلة عطور أصلية بأسعار منافسة، اطلب ووصلك لبيتك,1,0,0,0,0,0,0,0,0,0
بدك تربح من النت؟ اشترك ببرنامجنا واربح يومياً، التفاصيل بالرابط,1,0,0,0,0,0,0,0,0,0
تخفيضات الموسم عكل الألبسة الشتوية، وصلك لباب بيتك,1,0,0,0,0,0,0,0,0,0
خدمة صيانة كمبيوترات وموبايلات، نجي لعندك، اتصل فينا هلق,1,0,0,0,0,0,0,0,0,0
وصلنا شحنة جديدة من اللابتوبات بأسعار الجملة، الكمية محدودة,1,0,0,0,0,0,0,0,0,0
احجز رحلتك لتركيا بأرخص الأسعار، عروض حصرية لهالأسبوع بس,1,0,0,0,0,0,0,0,0,0
ع.رو.ض ر.ه.ي.ب.ة عالموبايلات اطلب هلق قبل نفاذ الكمية,1,0,0,0,0,0,0,0,0,0
عندك مشروع صغير؟ منساعدك تسوقو اونلاين بأرخص الأسعار,1,0,0,0,0,0,0,0,0,0
اشترك بنادينا الرياضي وخود شهر مجاني، العرض لفترة محدودة,1,0,0,0,0,0,0,0,0,0
بدك بيت بالتقسيط المريح؟ مشاريعنا بانتظارك، تواصل معنا,1,0,0,0,0,0,0,0,0,0
عرض حصري عالساعات السويسرية الأصلية، خصم لحد 60%,1,0,0,0,0,0,0,0,0,0
تعلم البرمجة من الصفر للاحتراف بكورس واحد، سجل هلق,1,0,0,0,0,0,0,0,0,0
ولك في تخفيضات عالأجهزة الكهربائية وصلت 40%، لا يفوتك,1,0,0,0,0,0,0,0,0,0
