text,category,is_obfuscated
خبر عاجل: الكوليرا انتشرت بالمياه الجوفية بكل سوريا,misinfo,0
علماء أثبتوا إن الماء المقطر بيسبب ألزهايمر مبكر,misinfo,0
تحذير: المكيفات بتنشر فيروسات بالهواء، اطفوها هلق,misinfo,0
اكتشفوا إن الموز المستورد محقون بمادة مسرطنة خطرة,misinfo,0
انتبهوا! شبكات الجيل الخامس بتذيب الدماغ تدريجياً,misinfo,0
خبر مؤكد: الدولة رح تصادر الأملاك الخاصة الشهر الجاي,misinfo,0
ثبت طبياً إن شرب الماء مع الأكل بيسبب تسمم دموي,misinfo,0
تحذير: القطط بتنقل فيروس جديد أشد من كورونا بعشرة أضعاف,misinfo,0
العلماء اكتشفوا إن اللحوم الحمراء بتسبب العمى التدريجي,misinfo,0
خبر صادم: رح يكون في حرب نووية بالمنطقة خلال أسبوع,misinfo,0
انتبهوا! الزيتون المعلب فيه مادة تسبب العقم نهائياً,misinfo,0
ثبت إن النوم قبل منتصف الليل يضر القلب والدماغ,misinfo,0
تحذير عاجل: رح يقطعوا الإنترنت شهراً كاملاً بسوريا,misinfo,0
اكتشفوا إن القرفة بتعالج السرطان أفضل من الكيماوي,misinfo,0
خبر مؤكد: ارتفاع مفاجئ بالدولار لـ50 ألف بكرا الصبح,misinfo,0
انتبهوا! حليب الأطفال فيه ميكروبات مميتة حديثاً,misinfo,0
ثبت علمياً إن الخيار بيمتص الأنسولين ويضر السكريين,misinfo,0
تحذير: في عصابات بتخدر الناس بالرائحة بالأماكن العامة,misinfo,0
خبر عاجل: رح يصدر قانون مصادرة الذهب من البيوت,misinfo,0
اكتشفوا إن الليمون والبصل بيقتلوا فيروس الإيدز تماماً,misinfo,0
انتبهوا! الهواء المكيف بيضعف المناعة بنسبة 80%,misinfo,0
ثبت طبياً إن شرب العصير الصناعي يسبب ضمور المخ,misinfo,0
تحذير: في زلزال كبير متوقع تحت دمشق الأسبوع القادم,misinfo,0
خبر مؤكد: اليونيسف رح توزع مبالغ لكل الأطفال السوريين,misinfo,0
اكتشفوا إن اللبن بيحتوي على مادة تسبب الجنون التدريجي,misinfo,0
انتبهوا! الشبكات الاجتماعية بتسرق بيانات بنكية تلقائياً,misinfo,0
ثبت إن البروتين الزائد بيحول للدهون ويسبب سرطان الكبد,misinfo,0
تحذير عاجل: مرض نادر انتشر بالمدارس، خبّوا أولادكم,misinfo,0
خبر صادم: رح يرفعوا سن التقاعد لـ75 سنة بقانون سري,misinfo,0
اكتشفوا إن الشوكولاتة السوداء تعالج اكتئاب الشتاء تماماً,misinfo,0
انتبهوا! مياه الصنبور فيها كلور يسبب السرطان طويل المدى,misinfo,0
ثبت علمياً إن الصيام المتقطع بيعكس الشيخوخة بالجسم,misinfo,0
تحذير: رح يصير انهيار للليرة بنسبة 90% خلال أيام,misinfo,0
خبر مؤكد: الأردن رح يفتح الحدود للسوريين بدون فيزا,misinfo,0
اكتشفوا إن الثوم يوقف نمو الورم السرطاني فوراً,misinfo,0
انتبهوا! الهاتف قريب من الرأس بيحرق خلايا الدماغ يومياً,misinfo,0
ثبت إن اللقاحات تحتوي شريحة إلكترونية للمراقبة,misinfo,0
تحذير عاجل: وباء حمى النيل الغربي وصل لسوريا هالأسبوع,misinfo,0
خبر مؤكد: رح يمنعوا التحويلات المالية لخارج سوريا فوراً,misinfo,0
اكتشفوا إن سم العقرب يعالج السرطان أفضل من أي دواء,misinfo,0
انتبهوا! الأوراق النقدية تنقل فيروسات أشد من كورونا,misinfo,0
ثبت طبياً إن القهوة بتسبب ضغط العيون والعمى التدريجي,misinfo,0
تحذير: رح يفرضوا ضريبة 50% على كل ادخار بالبنوك,misinfo,0
خبر صادم: فيروس جديد بيؤثر على الذاكرة ينتشر بسوريا,misinfo,0
اكتشفوا إن الشمس فوق 5 دقائق يومياً بتشفي من السرطان,misinfo,0
انتبهوا! الدواجن المستوردة فيها هرمونات تسبب التخنيث,misinfo,0
ثبت إن التمر يخفض السكر بدم مريض السكري تلقائياً,misinfo,0
تحذير عاجل: رح يتوقف صرف المساعدات الإنسانية غداً,misinfo,0
خبر مؤكد: مسؤول كبير اعترف بوجود تلاعب بانتخابات سرياً,misinfo,0
اكتشفوا إن الزيتون الأسود بيسمم الكبد عند الاستخدام اليومي,misinfo,0
انتبهوا! رح يصير انقلاب عسكري بسوريا خلال 48 ساعة,misinfo,0
