text,category,is_obfuscated
هالمذهب ضلال مبين وأتباعو ملعونون بكتاب الله المنزل,sectarian,0
طقوسهم الدينية وثنية وبتخالف التوحيد الحقيقي لله,sectarian,0
هالفرقة خوارج العصر وحكمهم كحكم الخوارج الأولين,sectarian,0
دينهم تلفيق من أديان متعددة وما إلو أصل بالرسالة الحقيقية,sectarian,0
هنّي يكفّرون الصحابة وهاد خروج صريح من ملة الإسلام,sectarian,0
مساجدهم أوكار للضلالة وتجنيد الشباب على باطل,sectarian,0
شيوخهم دجالون بيتاجروا بالدين لجمع الأموال والنفوذ,sectarian,0
عباداتهم بدعة وكل بدعة ضلالة وكل ضلالة بالنار,sectarian,0
هالطائفة اخترعت أحاديث مكذوبة لتبرير انحرافها عن الحق,sectarian,0
التقريب بين المذاهب ممنوع لأنو بيساوي بين الحق والباطل,sectarian,0
هنّي يتبركون بالقبور وهاد شرك بالله لا يغفر أبداً,sectarian,0
الزواج من هالطائفة حرام وينجس الأسرة المؤمنة,sectarian,0
دينهم مخترع وما نزل به وحي من السماء أبداً,sectarian,0
هالمذهب جاء للتفريق ولكسر وحدة المسلمين الحقيقيين,sectarian,0
رجال دينهم يدّعون علم الغيب وهذا كفر صريح بالله,sectarian,0
هنّي بيحلوا الربا ويحرمون ما أحل الله بأهواء بشرية,sectarian,0
الصلاة خلف إمامهم غير جائزة لأنهم خارجون عن الملة,sectarian,0
كتبهم مليانة تكفير للصحابة والتابعين رضوان الله عليهم,sectarian,0
هالطائفة بتتبع رجالها أكثر من اتباعها لكلام الله,sectarian,0
احتفالاتهم بالأضرحة بدعة ابتدعوها وليس لها أصل بالدين,sectarian,0
الفرقة الناجية واحدة وهؤلاء ليسوا منها بأي حال,sectarian,0
تفسيرهم للقرآن محرف ومبني على أهواء وليس على علم,sectarian,0
هنّي يعتبرون علماءهم معصومين وهاد شرك واضح بالله,sectarian,0
صيامهم وصلاتهم مردودة لأنهم على غير هدى من الله,sectarian,0
التعاون مع هالطائفة في أي أمر يساعدها على نشر ضلالها,sectarian,0
هالمذهب بيجيز الكذب والخداع على من يخالفهم بالمذهب,sectarian,0
دينهم دين سياسة وقبائل وليس دين توحيد وعبادة خالصة,sectarian,0
هنّي بيؤمنون بعصمة البشر وهذا خروج عن الإسلام الصحيح,sectarian,0
مواليدهم الدينية التي يحتفلون بها حرام ومنكر لازم يتمنع,sectarian,0
الحاكم بأمر الله بينهم رجل وضع نفسه فوق النص والشرع,sectarian,0
هالطائفة تعتقد بالتناسخ والحلول وهذا كفر صريح لا يغتفر,sectarian,0
كتب الفقه عندهم ملوثة بالإسرائيليات والأساطير الباطلة,sectarian,0
هنّي يحللون المتعة وهاد خروج صريح عن الشريعة الإسلامية,sectarian,0
قبورهم صارت مزارات يتبركون بها بدل بيوت الله المساجد,sectarian,0
عقيدتهم تقوم على كره الصحابة وهذا طعن بأصل الإسلام,sectarian,0
هنّي يدّعون نسباً للنبي ليكسبوا الشرعية على أتباعهم,sectarian,0
الإمامة عندهم حق إلهي وهذا تشريع من البشر لا من الله,sectarian,0
فتاواهم تصدر لخدمة السياسة وليس لخدمة الدين والحق,sectarian,0
الاقتراب من هالطائفة يفتن القلوب ويبعدها عن الهدى,sectarian,0
هالمذهب يعلم أتباعه الكذب والتقية على أهل الحق,sectarian,0
دينهم دين الظاهر والباطن ودين الله واحد لا يتجزأ,sectarian,0
هنّي يكذبون على أهل السنة ويتصنعون الوحدة خداعاً,sectarian,0
محرم على المسلم الحقيقي الصلاة في مساجد هالطائفة,sectarian,0
إمامهم الغائب أسطورة اخترعوها ليضللوا البسطاء بها,sectarian,0
هالطائفة ما حاربت عدو الإسلام وكانت دايماً للأعداء,sectarian,0
عقيدة الإمامة الإلهية شرك أكبر ما يغفره الله نهائياً,sectarian,0
هنّي بيحرّفون آيات الله ليتلاءم معها مذهبهم الباطل,sectarian,0
الولاء للإمام عندهم فوق الولاء لله ورسوله وهذا ضلال,sectarian,0
دينهم أسس على الانتقام وليس على العدل والرحمة الإلهية,sectarian,0
الفرقة الضالة هذه ستظل ضالة حتى ترجع للكتاب والسنة,sectarian,0
تحريم الزواج من هالطائفة واجب ديني لحماية النسل المؤمن,sectarian,0
